"指标名称","业务组别","指标来源类型","指标说明"
"TMDB原生热度","流量热度","TMDB原生字段","TMDB 数据集自带 popularity，表示平台热度/流量关注度，不能写成衍生指标。"
"TMDB预算","商业运营","TMDB原生字段","TMDB 数据集自带预算。"
"TMDB票房收入","商业运营","TMDB原生字段","TMDB 数据集自带票房/收入。"
"片长","内容属性","TMDB原生字段","TMDB 数据集自带片长。"
"TMDB评分人数","流量热度","TMDB原生字段","TMDB 数据集自带评分人数，属于平台反馈规模指标。"
"上映年份","内容属性","TMDB/MovieLens原生日期提取","由 TMDB release_date 或 MovieLens 标题年份提取。"
"影片总互动量","流量热度","MovieLens衍生分析指标","由 ratings 评分记录按 movieId 聚合得到的影片总互动量。"
"评分用户数","流量热度","MovieLens衍生分析指标","由 ratings 评分记录按 movieId 聚合得到的去重评分用户数。"
"观看用户平均活跃度","受众偏好","MovieLens衍生分析指标","先统计每个用户评分次数，再计算观看该片用户的平均活跃度。"
"高活跃用户占比","受众偏好","MovieLens衍生分析指标","观看该片用户中高活跃用户占比。"
"TMDB热度对数","流量热度","工程衍生指标","对 TMDB 原生 popularity 做 log1p 变换，降低长尾偏态。"
"TMDB预算对数","商业运营","工程衍生指标","对 TMDB 原生预算做 log1p 变换。"
"TMDB票房收入对数","商业运营","工程衍生指标","对 TMDB 原生票房/收入做 log1p 变换。"
"TMDB利润对数","商业运营","工程衍生指标","由 revenue - budget 得到利润后做带符号 log1p 变换。"
"投资回报率","商业运营","工程衍生指标","由 revenue / budget 得到投资回报率；预算缺失或为 0 时置为缺失后用中位数填补。"
"影片年龄","内容属性","工程衍生指标","由当前年份 - release_year 得到影片年龄。"
"类型数量","内容属性","TMDB 原生字段加工","由 TMDB genres 字段解析得到的电影类型数量。"
"评分标准差","受众偏好","MovieLens衍生分析指标","由 MovieLens 评分记录按电影聚合得到的评分标准差，用于刻画评价分歧。"
